Student_ID,Roll_Number,Full_Name,Gender,Branch,Section,CGPA,SGPA,Backlogs,Sem_Status,Skills,Certifications_Count,Internship_Count,Eligible_For_Placements,Placement_Status
STU0027,22311A0527,Prudhvi Agarwal,Male,CSE,C,7.36,7.12,0,PASS,"Git, MongoDB",2,1,Yes,Placed
STU0028,22311A0528,Ankita Bhargav,Female,CSE,D,7.85,7.96,0,PASS,"AWS, Web Development, Git, Java",2,1,Yes,Placed
STU0029,22311A0529,Rajesh Balakrishna,Male,CSE,E,6.82,7.32,0,PASS,"Docker, MongoDB, Node.js, DSA",1,1,Yes,Placed
STU0030,22311A0530,Rahul Patel,Male,CSE,F,8.95,8.68,0,PASS,"DSA, MongoDB, Java, Python",2,1,Yes,Placed
STU0031,22311A0531,Ganesh Malhotra,Male,CSE,A,7.54,7.63,0,PASS,"SQL, AWS",2,0,Yes,Placed
STU0032,22311A0532,Omkar Kapoor,Male,CSE,B,9.8,10.0,0,PASS,"C++, React, Docker, Git, AWS, MongoDB",6,2,Yes,Placed
STU0033,22311A0533,Dhanush Bansal,Male,CSE,C,9.52,9.8,0,PASS,"Docker, SQL, Web Development, DSA",4,2,Yes,Placed
STU0034,22311A0534,Tejaswini Patel,Female,CSE,D,9.06,9.03,0,PASS,"Docker, AWS, Python, DSA, Node.js, Git",6,3,Yes,Placed
STU0035,22311A0535,Tanuja Dubey,Female,CSE,E,7.08,7.73,1,FAIL,"MongoDB, Git, C++, DSA, Docker, SQL",3,1,Yes,Placed
STU0036,22311A0536,Niharika Shukla,Female,CSE,F,9.53,10.0,0,PASS,"C++, Node.js, Python, SQL, AWS, Git",5,1,Yes,Placed
STU0037,22311A0537,Pratyusha Rathod,Female,CSE,A,9.75,10.0,0,PASS,"SQL, Docker, Python, Git",2,2,Yes,Placed
STU0038,22311A0538,Apoorva Goud,Female,CSE,B,6.53,6.14,0,PASS,"C++, DSA",0,0,Yes,Not Placed
STU0039,22311A0539,Varsha Krishnan,Female,CSE,C,5.81,6.02,3,FAIL,"Node.js, AWS, MongoDB, DSA, SQL, Web Development",1,0,No,Not Placed
STU0040,22311A0540,Kousalya Balakrishna,Female,CSE,D,7.98,8.48,0,PASS,"Node.js, React, SQL, Git, MongoDB",1,2,Yes,Placed
STU0041,22311A0541,Krishna Agarwal,Male,CSE,E,9.44,9.87,0,PASS,"C++, Git, Docker, MongoDB",5,3,Yes,Placed
STU0042,22311A0542,Surya Ramaiah,Male,CSE,F,6.38,6.12,0,PASS,"Node.js, AWS, React, Python, Docker, MongoDB",0,0,Yes,Not Placed
STU0043,22311A0543,Lasya Jangam,Female,CSE,A,9.52,9.19,0,PASS,"MongoDB, AWS, Docker",6,1,Yes,Placed
STU0044,22311A0544,Goutham Bansal,Male,CSE,B,5.72,6.09,0,PASS,"React, Docker, Git, C++, MongoDB, DSA",2,0,No,Not Placed
STU0045,22311A0545,Sai Natarajan,Female,CSE,C,9.74,10.0,0,PASS,"DSA, MongoDB, Docker",4,3,Yes,Placed
STU0046,22311A0546,Pranav Chandrasekhar,Male,CSE,D,7.04,6.86,0,PASS,"Web Development, Python, Node.js",3,1,Yes,Placed
STU0047,22311A0547,Sameera Mukherjee,Female,CSE,E,5.78,5.85,0,PASS,"Web Development, Docker",0,0,No,Not Placed
STU0048,22311A0548,Vamshi Chowdary,Male,CSE,F,8.25,8.43,0,PASS,"C++, DSA, Git, AWS, Docker, Node.js",3,2,Yes,Placed
STU0049,22311A0549,Vishal Varma,Male,CSE,A,8.21,8.53,0,PASS,"Git, SQL, Java",1,1,Yes,Not Placed
STU0050,22311A0550,Dhanush Raghunath,Male,CSE,B,4.43,4.23,5,FAIL,"Node.js, DSA",2,1,No,Not Placed
STU0051,22311A0551,Sai Shah,Male,CSE,C,6.9,6.5,0,PASS,"C++, MongoDB, Web Development, Docker",0,0,Yes,Not Placed
STU0052,22311A0552,Vikram Ghosh,Male,CSE,D,9.73,9.98,0,PASS,"SQL, DSA",6,3,Yes,Placed
STU0053,22311A0553,Vikram Goud,Male,CSE,E,6.02,6.04,0,PASS,"AWS, Node.js, Docker, SQL, C++, Java",0,0,Yes,Not Placed
STU0054,22311A0554,Haritha Bhargav,Female,CSE,F,9.76,9.21,0,PASS,"React, Web Development",4,1,Yes,Placed
STU0055,22311A0555,Shiva Roy,Male,CSE,A,6.37,6.42,0,PASS,"React, C++, Docker, Node.js, Python, SQL",0,0,Yes,Not Placed
STU0056,22311A0556,Tanuja Mukherjee,Female,CSE,B,8.16,8.33,0,PASS,"DSA, SQL",4,2,Yes,Placed
STU0057,22311A0557,Praveen Sen,Male,CSE,C,9.48,9.54,0,PASS,"Git, Java, AWS, DSA, Node.js",2,2,Yes,Placed
STU0058,22311A0558,Revanth Jangam,Male,CSE,D,9.3,9.52,0,PASS,"Java, Docker, Git, Node.js, React",4,3,Yes,Placed
STU0059,22311A0559,Suraj Malhotra,Male,CSE,E,8.38,8.98,0,PASS,"MongoDB, Docker, AWS, C++",2,1,Yes,Placed
STU0060,22311A0560,Sravani Bhargav,Female,CSE,F,7.29,7.33,0,PASS,"Node.js, Java, SQL, Docker, Web Development",3,1,Yes,Placed
STU0061,22311A0561,Girish Bhargav,Male,CSE,A,6.97,7.38,1,FAIL,"Python, C++, SQL, DSA, Web Development, Node.js",1,0,Yes,Not Placed
STU0062,22311A0562,Yamini Iyer,Female,CSE,B,8.8,8.61,0,PASS,"AWS, Java, DSA, Git",5,3,Yes,Placed
STU0063,22311A0563,Ravi Pillai,Male,CSE,C,7.52,7.62,0,PASS,"Docker, Node.js, Web Development",4,0,Yes,Placed
STU0064,22311A0564,Meghana Kapoor,Female,CSE,D,7.16,7.04,0,PASS,"MongoDB, Web Development, Docker, Node.js, DSA",4,2,Yes,Placed
STU0065,22311A0565,Pratyusha Waghmare,Female,CSE,E,7.97,8.29,0,PASS,"Node.js, Python, C++, Docker, Web Development, AWS",2,1,Yes,Placed
STU0066,22311A0566,Yamini Srinivas,Female,CSE,F,9.84,10.0,0,PASS,"Web Development, Docker",2,3,Yes,Placed
STU0067,22311A0567,Divya Nair,Female,CSE,A,6.8,7.3,1,FAIL,"Git, MongoDB, Web Development, Java",0,1,Yes,Not Placed
STU0068,22311A0568,Vivek Jangam,Male,CSE,B,7.63,7.35,0,PASS,"Git, React, SQL, AWS, Python",3,1,Yes,Placed
STU0069,22311A0569,Venkat Dubey,Male,CSE,C,6.85,6.29,1,FAIL,"React, C++, DSA, SQL, Docker, MongoDB",0,0,Yes,Placed
STU0070,22311A0570,Ananya Balakrishna,Female,CSE,D,5.73,5.88,0,PASS,"Node.js, Git, AWS, Java",2,0,No,Not Placed
STU0071,22311A0571,Tej Bhuvanesh,Male,CSE,E,4.56,4.58,6,FAIL,"SQL, Node.js, React, Git",2,0,No,Not Placed
STU0072,22311A0572,Madhuri Srinivas,Female,CSE,F,8.21,8.51,1,FAIL,"React, DSA",2,1,Yes,Placed
STU0073,22311A0573,Padmaja Paul,Female,CSE,A,9.15,9.81,0,PASS,"Web Development, Java",3,3,Yes,Placed
STU0074,22311A0574,Ishitha Krishnan,Female,CSE,B,5.51,6.02,0,PASS,"Python, Java, Web Development, MongoDB",0,0,No,Not Placed
STU0075,22311A0575,Apoorva Bose,Female,CSE,C,9.22,9.48,0,PASS,"Web Development, Docker, Python, C++, Node.js, AWS",5,2,Yes,Placed
STU0076,22311A0576,Goutham Chopra,Male,CSE,D,6.11,5.6,0,PASS,"Git, React, AWS, MongoDB, Web Development, DSA",1,0,Yes,Not Placed
STU0077,22311A0577,Lokesh Paul,Male,CSE,E,8.34,8.37,0,PASS,"React, AWS",3,1,Yes,Placed
STU0078,22311A0578,Gayathri Bose,Female,CSE,F,6.64,7.07,1,FAIL,"Python, C++, Git, Node.js, React, Docker",0,0,Yes,Not Placed
STU0079,22311A0579,Akshay Chowdary,Male,CSE,A,7.37,7.07,0,PASS,"SQL, React, Git",3,0,Yes,Placed
STU0080,22311A0580,Kavya Shah,Female,CSE,B,9.64,9.08,0,PASS,"Python, Java, Web Development, C++",4,2,Yes,Placed
STU0081,22311A0581,Sameera Yadav,Female,CSE,C,7.45,6.89,0,PASS,"AWS, MongoDB, Docker",3,0,Yes,Placed
STU0082,22311A0582,Nandini Patel,Female,CSE,D,6.25,5.72,0,PASS,"Node.js, AWS, Docker, C++, MongoDB",0,1,Yes,Not Placed
STU0083,22311A0583,Rekha Krishnan,Female,CSE,E,9.05,9.0,0,PASS,"Python, MongoDB, DSA, Web Development, C++, AWS",3,2,Yes,Placed
STU0084,22311A0584,Deepthi Reddy,Female,CSE,F,7.3,7.02,0,PASS,"SQL, AWS, Python, Node.js",1,1,Yes,Not Placed
STU0085,22311A0585,Nandini Shah,Female,CSE,A,6.67,6.1,0,PASS,"Docker, React, SQL, AWS, C++, MongoDB",0,0,Yes,Not Placed
STU0086,22311A0586,Sameera Jagadeesh,Female,CSE,B,8.63,8.77,0,PASS,"React, MongoDB, Java",3,1,Yes,Placed
STU0087,22311A0587,Jhansi Nayak,Female,CSE,C,8.77,8.86,0,PASS,"C++, Docker, MongoDB, React, Git, SQL",5,1,Yes,Placed
STU0088,22311A0588,Yashwanth Bhuvanesh,Male,CSE,D,7.19,6.64,0,PASS,"SQL, Node.js, MongoDB, Git",4,1,Yes,Placed
STU0089,22311A0589,Bharath Bansal,Male,CSE,E,7.41,7.51,2,FAIL,"SQL, React, MongoDB, Git, Java",1,0,Yes,Placed
STU0090,22311A0590,Abhishek Das,Male,CSE,F,5.87,5.67,0,PASS,"Node.js, C++, Python, React",0,0,No,Not Placed
STU0091,22311A0591,Vineeth Venkatarao,Male,CSE,A,9.33,9.55,0,PASS,"React, Web Development, AWS",3,3,Yes,Placed
STU0092,22311A0592,Girish Jagadeesh,Male,CSE,B,6.69,7.07,2,FAIL,"SQL, Node.js, AWS, Git, React, Python",0,0,Yes,Not Placed
STU0093,22311A0593,Kousalya Mukherjee,Female,CSE,C,6.94,7.44,0,PASS,"MongoDB, Git, Python, React, Java, Web Development",0,0,Yes,Placed
STU0094,22311A0594,Rahul Chopra,Male,CSE,D,4.55,4.96,6,FAIL,"Web Development, Docker, DSA, Git, C++, Java",2,1,No,Not Placed
STU0095,22311A0595,Rohit Thakur,Male,CSE,E,7.65,8.14,0,PASS,"Java, DSA, C++, MongoDB, Web Development",1,1,Yes,Not Placed
STU0096,22311A0596,Sandeep Raju,Male,CSE,F,6.63,6.25,0,PASS,"Java, AWS, SQL, DSA, Docker, MongoDB",2,0,Yes,Not Placed
STU0097,22311A0597,Ajay Sekhar,Male,CSE,A,5.72,5.57,0,PASS,"Java, MongoDB, Python, Web Development",2,0,No,Not Placed
STU0098,22311A0598,Dhanush Bansal,Male,CSE,B,6.82,6.43,2,FAIL,"Git, AWS, SQL, Web Development, DSA, Java",0,0,Yes,Not Placed
STU0099,22311A0599,Balaji Gupta,Male,CSE,C,8.52,8.26,0,PASS,"Web Development, AWS, Python",6,2,Yes,Placed
STU0100,22311A05100,Ranjitha Devi,Female,CSE,D,6.47,5.96,1,FAIL,"Git, MongoDB, Python, AWS, Docker, C++",1,1,Yes,Not Placed
STU0101,22311A05101,Alekhya Waghmare,Female,CSE,E,9.77,10.0,0,PASS,"Java, Python, React, Git",4,3,Yes,Placed
STU0102,22311A05102,Kousalya Kapoor,Female,CSE,F,6.7,7.1,2,FAIL,"Web Development, DSA",0,0,Yes,Not Placed
STU0103,22311A05103,Mounika Roy,Female,CSE,A,8.65,8.45,0,PASS,"Node.js, React",4,1,Yes,Placed
STU0104,22311A05104,Shashank Shukla,Male,CSE,B,7.96,8.05,0,PASS,"Web Development, SQL, AWS, Node.js, C++, MongoDB",2,1,Yes,Placed
STU0105,22311A05105,Bhavana Rathod,Female,CSE,C,9.69,9.58,0,PASS,"MongoDB, React",6,2,Yes,Placed
STU0106,22311A05106,Lavanya Varma,Female,CSE,D,7.7,8.05,1,FAIL,"C++, Node.js, Docker",1,0,Yes,Not Placed
STU0107,22311A05107,Sreshta Kadam,Female,CSE,E,6.73,6.76,0,PASS,"SQL, C++, Java, Git, React",0,0,Yes,Not Placed
STU0108,22311A05108,Deepthi Naidu,Female,CSE,F,7.34,7.11,0,PASS,"DSA, C++, Web Development, Docker, MongoDB",1,0,Yes,Placed
STU0109,22311A05109,Ishitha Chopra,Female,CSE,A,9.67,10.0,0,PASS,"Git, Web Development, Node.js, Java, MongoDB, AWS",4,3,Yes,Placed
STU0110,22311A05110,Jhansi Babu,Female,CSE,B,7.36,7.41,3,FAIL,"C++, SQL, Node.js",3,1,No,Not Placed
STU0111,22311A05111,Eshwar Das,Male,CSE,C,8.32,7.82,0,PASS,"React, Java, Git, Node.js, C++, DSA",1,2,Yes,Placed
STU0112,22311A05112,Yashwanth Pillai,Male,CSE,D,7.92,8.05,0,PASS,"Web Development, DSA",3,0,Yes,Placed
STU0113,22311A05113,Tejaswini Nair,Female,CSE,E,6.44,6.06,1,FAIL,"React, C++, Python, Node.js, SQL, Git",2,1,Yes,Not Placed
STU0114,22311A05114,Kalyani Mehta,Female,CSE,F,6.39,6.55,1,FAIL,"Docker, DSA, AWS, Web Development",0,0,Yes,Not Placed
STU0115,22311A05115,Ranjitha Chatterjee,Female,CSE,A,7.79,7.64,2,FAIL,"AWS, Java, React, Git",1,0,Yes,Not Placed
STU0116,22311A05116,Vikram Bansal,Male,CSE,B,5.79,5.73,1,FAIL,"Java, React, C++",1,0,No,Not Placed
STU0117,22311A05117,Sravani Kapoor,Female,CSE,C,7.92,8.03,1,FAIL,"C++, React, Python",1,0,Yes,Placed
STU0118,22311A05118,Dhanush Chandrasekhar,Male,CSE,D,7.82,8.24,0,PASS,"Python, AWS, MongoDB, Git",2,1,Yes,Placed
STU0119,22311A05119,Pratyusha Ghosh,Female,CSE,E,9.61,9.19,0,PASS,"AWS, React",4,3,Yes,Placed
STU0120,22311A05120,Nikhil Venkatesh,Male,CSE,F,6.56,6.96,1,FAIL,"Docker, Java, C++, Git, Node.js, MongoDB",2,0,Yes,Not Placed
STU0121,22311A05121,Yashwanth Jangam,Male,CSE,A,9.47,8.89,0,PASS,"Node.js, SQL, AWS, Web Development",2,3,Yes,Placed
STU0122,22311A05122,Waseem Mohan,Male,CSE,B,7.44,7.71,1,FAIL,"Node.js, DSA, Python",1,0,Yes,Not Placed
STU0123,22311A05123,Revanth Patil,Male,CSE,C,9.47,10.0,0,PASS,"MongoDB, Java",6,1,Yes,Placed
STU0124,22311A05124,Eshwar Das,Male,CSE,D,9.55,9.9,0,PASS,"C++, Docker, DSA, MongoDB",4,3,Yes,Placed
STU0125,22311A05125,Mounika Chandrasekhar,Female,CSE,E,9.56,10.0,0,PASS,"Web Development, SQL, C++, Git",5,2,Yes,Placed
STU0126,22311A05126,Nikhil Raghunath,Male,CSE,F,5.43,4.94,5,FAIL,"MongoDB, Docker, DSA, C++",1,0,No,Not Placed
STU0127,22311A05127,Vikram Babu,Male,CSE,A,6.58,7.25,0,PASS,"Python, SQL, AWS",0,0,Yes,Not Placed
STU0128,22311A05128,Naveen Reddy,Male,CSE,B,7.48,8.11,0,PASS,"Web Development, React, MongoDB",1,2,Yes,Placed
STU0129,22311A05129,Uma Mohan,Female,CSE,C,9.18,9.82,0,PASS,"Python, AWS, Docker",3,3,Yes,Placed
STU0130,22311A05130,Vivek Rao,Male,CSE,D,4.85,4.4,6,FAIL,"Docker, Node.js, Git, C++",0,1,No,Not Placed
STU0131,22311A05131,Chandra Natarajan,Male,CSE,E,5.66,5.7,0,PASS,"Python, React, Web Development",1,1,No,Not Placed
STU0132,22311A05132,Radhika Shukla,Female,CSE,F,7.5,7.16,0,PASS,"DSA, Python, Web Development, AWS",2,1,Yes,Placed
STU0133,22311A05133,Niharika Balakrishna,Female,CSE,A,7.04,6.77,0,PASS,"Web Development, Java, AWS, Git, MongoDB",1,1,Yes,Not Placed
STU0134,22311A05134,Ajay Das,Male,CSE,B,5.65,6.1,1,FAIL,"MongoDB, Git, Docker, Node.js, DSA",1,0,No,Not Placed
STU0135,22311A05135,Girish Das,Male,CSE,C,7.35,6.84,0,PASS,"DSA, C++, Git, Java, Node.js, Docker",4,0,Yes,Placed
STU0136,22311A05136,Vaishnavi Mukherjee,Female,CSE,D,9.51,9.55,0,PASS,"Git, Docker",4,3,Yes,Placed
STU0137,22311A05137,Lasya Reddy,Female,CSE,E,7.02,6.51,3,FAIL,"Docker, Python",3,1,No,Not Placed
STU0138,22311A05138,Revanth Thakur,Male,CSE,F,9.38,9.74,0,PASS,"Java, Node.js, React, SQL, MongoDB, Web Development",5,3,Yes,Placed
STU0139,22311A05139,Kavya Reddy,Female,CSE,A,9.42,9.35,0,PASS,"DSA, Docker, React",3,2,Yes,Placed
STU0140,22311A05140,Tanuja Krishnan,Female,CSE,B,4.99,5.25,5,FAIL,"DSA, MongoDB",0,0,No,Not Placed
STU0141,22311A05141,Charan Ramaiah,Male,CSE,C,6.83,7.44,0,PASS,"Web Development, DSA, C++, React, Git, SQL",0,0,Yes,Not Placed
STU0142,22311A05142,Srikanth Joshi,Male,CSE,D,6.45,7.08,3,FAIL,"Git, Docker, Python, React, AWS",1,0,No,Not Placed
STU0143,22311A05143,Praveen Balakrishna,Male,CSE,E,9.3,9.69,0,PASS,"Python, Git, AWS, C++, Java",5,1,Yes,Placed
STU0144,22311A05144,Niharika Patel,Female,CSE,F,7.59,7.26,0,PASS,"C++, Python, SQL, DSA, Git, Docker",2,2,Yes,Placed
STU0145,22311A05145,Vasudha Kumar,Female,CSE,A,9.75,10.0,0,PASS,"MongoDB, DSA, AWS, Node.js, React, C++",4,2,Yes,Placed
STU0146,22311A05146,Nitin Jagadeesh,Male,CSE,B,8.98,9.04,0,PASS,"DSA, React, Node.js, AWS",2,3,Yes,Placed
STU0147,22311A05147,Nikhil Sharma,Male,CSE,C,9.15,9.01,0,PASS,"C++, DSA, Docker, Git, React",4,2,Yes,Placed
STU0148,22311A05148,Goutham Malhotra,Male,CSE,D,7.58,7.66,1,FAIL,"Node.js, Python, Git, MongoDB, SQL, AWS",1,1,Yes,Placed
STU0149,22311A05149,Suresh Gupta,Male,CSE,E,6.01,5.93,1,FAIL,"Docker, Node.js, MongoDB, Python, Git, Web Development",1,0,Yes,Not Placed
STU0150,22311A05150,Vignesh Mandal,Male,CSE,F,6.31,6.65,2,FAIL,"SQL, MongoDB, Git",0,0,Yes,Not Placed
STU0151,22311A05151,Nitin Natarajan,Male,CSE,A,6.46,6.5,0,PASS,"Web Development, Node.js, SQL",1,1,Yes,Not Placed
STU0152,22311A05152,Harish Shukla,Male,CSE,B,6.51,6.15,0,PASS,"Node.js, React, C++, SQL, Python",0,1,Yes,Not Placed
STU0153,22311A05153,Umesh Bose,Male,CSE,C,9.54,9.86,0,PASS,"React, Python, DSA",6,1,Yes,Placed
STU0154,22311A05154,Pavan Singh,Male,CSE,D,9.68,9.84,0,PASS,"MongoDB, Java, SQL, Git, React",2,1,Yes,Placed
STU0155,22311A05155,Ganesh Jangam,Male,CSE,E,9.33,9.62,0,PASS,"Docker, DSA, React, Git, AWS",5,1,Yes,Placed
STU0156,22311A05156,Suraj Patel,Male,CSE,F,6.61,6.39,0,PASS,"MongoDB, AWS, React",0,0,Yes,Not Placed
STU0157,22311A05157,Abhishek Kadam,Male,CSE,A,5.59,5.59,1,FAIL,"AWS, SQL, Python, Node.js, React, Web Development",0,0,No,Not Placed
STU0158,22311A05158,Pratyusha Kumar,Female,CSE,B,7.85,8.52,1,FAIL,"Git, Java, AWS, Node.js, MongoDB, Docker",3,0,Yes,Placed
STU0159,22311A05159,Haritha Agarwal,Female,CSE,C,9.94,10.0,0,PASS,"C++, MongoDB, DSA, Docker, SQL",3,2,Yes,Placed
STU0160,22311A05160,Priyanka Bhargav,Female,CSE,D,9.43,9.98,0,PASS,"Java, Web Development, React, DSA, Docker, MongoDB",3,2,Yes,Placed
STU0161,22311A05161,Vivek Mukherjee,Male,CSE,E,6.92,7.42,0,PASS,"DSA, C++, Git, Java, Python, React",0,1,Yes,Not Placed
STU0162,22311A05162,Vivek Gupta,Male,CSE,F,7.25,7.54,0,PASS,"MongoDB, AWS, Node.js",1,1,Yes,Placed
STU0163,22311A05163,Waseem Shukla,Male,CSE,A,9.04,9.8,0,PASS,"C++, Node.js, SQL, MongoDB, DSA, React",4,1,Yes,Placed
STU0164,22311A05164,Bharath Shukla,Male,CSE,B,8.1,7.81,0,PASS,"C++, MongoDB, DSA, Docker, React, Node.js",4,1,Yes,Placed
STU0165,22311A05165,Madhav Patil,Male,CSE,C,5.6,5.58,3,FAIL,"MongoDB, Java",0,0,No,Not Placed
STU0166,22311A05166,Omkar Chatterjee,Male,CSE,D,6.22,6.25,0,PASS,"MongoDB, SQL",0,0,Yes,Not Placed
STU0167,22311A05167,Meghana Pillai,Female,CSE,E,9.33,9.33,0,PASS,"DSA, AWS, Java, C++, Node.js",5,1,Yes,Placed
STU0168,22311A05168,Sai Bansal,Male,CSE,F,8.75,9.28,0,PASS,"C++, SQL",6,1,Yes,Placed
STU0169,22311A05169,Jhansi Malhotra,Female,CSE,A,9.31,9.25,0,PASS,"C++, SQL, React, MongoDB, Docker",6,1,Yes,Placed
STU0170,22311A05170,Yashwanth Patel,Male,CSE,B,6.68,6.6,0,PASS,"AWS, C++, Java, MongoDB, Git",0,0,Yes,Not Placed
STU0171,22311A05171,Rajesh Pillai,Male,CSE,C,5.81,5.84,0,PASS,"Python, Docker, Java, DSA",1,1,No,Not Placed
STU0172,22311A05172,Kalyan Joshi,Male,CSE,D,9.08,8.52,0,PASS,"Web Development, Python, MongoDB",3,3,Yes,Placed
STU0173,22311A05173,Kousalya Malhotra,Female,CSE,E,9.57,9.35,0,PASS,"React, Git, Python, Docker, DSA, Node.js",2,3,Yes,Placed
STU0174,22311A05174,Uday Balakrishna,Male,CSE,F,5.76,6.37,0,PASS,"DSA, MongoDB",1,0,No,Not Placed
STU0175,22311A05175,Deepika Shah,Female,CSE,A,5.71,5.4,0,PASS,"Git, Web Development, C++, MongoDB",0,1,No,Not Placed
STU0176,22311A05176,Uma Natarajan,Female,CSE,B,9.14,9.59,0,PASS,"Python, Web Development, Java, C++, DSA",3,3,Yes,Placed
STU0177,22311A05177,Keerthi Tiwari,Female,CSE,C,7.12,7.15,0,PASS,"AWS, Git",3,1,Yes,Placed
STU0178,22311A05178,Balaji Mukherjee,Male,CSE,D,6.27,6.7,1,FAIL,"Node.js, MongoDB, React, SQL, AWS",0,0,Yes,Not Placed
STU0179,22311A05179,Madhuri Rathod,Female,CSE,E,9.49,9.37,0,PASS,"Python, SQL",5,1,Yes,Placed
STU0180,22311A05180,Radhika Shetty,Female,CSE,F,6.46,6.14,1,FAIL,"Node.js, Web Development, Java",2,1,Yes,Placed
STU0181,22311A05181,Pooja Venkatarao,Female,CSE,A,8.63,9.05,0,PASS,"AWS, Node.js, SQL",2,1,Yes,Placed
STU0182,22311A05182,Apoorva Murthy,Female,CSE,B,6.51,6.39,0,PASS,"MongoDB, Java, Docker, SQL, DSA",0,1,Yes,Not Placed
STU0183,22311A05183,Nandini Thakur,Female,CSE,C,6.27,6.72,0,PASS,"SQL, Git, C++",0,0,Yes,Not Placed
STU0184,22311A05184,Srikar Patil,Male,CSE,D,6.83,7.49,0,PASS,"C++, AWS",0,0,Yes,Not Placed
STU0185,22311A05185,Uday Bhuvanesh,Male,CSE,E,9.28,10.0,0,PASS,"Node.js, Web Development",3,3,Yes,Placed
STU0186,22311A05186,Rohit Tiwari,Male,CSE,F,6.4,7.14,0,PASS,"DSA, Docker",1,0,Yes,Not Placed
STU0187,22311A05187,Akash Kadam,Male,CSE,A,6.36,6.56,0,PASS,"Docker, SQL, Python",1,0,Yes,Not Placed
